,timestamp,count of registered resources,count of fully available resources,count of resources pending transcoding,count of available versions
455.535609088,1418922988629370000,89,1,60,59
456.864153856,1418922989957910000,89,1,60,59
458.1501952,1418922991243950000,89,1,60,59
459.430347776,1418922992524100000,89,1,60,60
460.735523328,1418922993829280000,89,1,60,60
462.081162752,1418922995174920000,89,2,60,61
463.377137664,1418922996470890000,89,2,59,62
464.723222528,1418922997816980000,89,2,59,62
466.003971328,1418922999097730000,89,2,59,63
467.294674688,1418923000388430000,89,2,59,64
468.573194496,1418923001666950000,89,2,59,64
469.893809152,1418923002987570000,89,2,58,65
471.187789568,1418923004281550000,89,2,58,65
472.512716288,1418923005606470000,89,2,58,65
473.832925952,1418923006926680000,89,2,58,65
475.163835392,1418923008257590000,89,2,58,65
476.445332736,1418923009539090000,89,2,58,65
477.74216704,1418923010835920000,89,2,57,66
479.0517824,1418923012145540000,89,2,57,66
480.356347648,1418923013450100000,89,2,57,66
481.659423744,1418923014753180000,89,2,57,66
482.94458368,1418923016038340000,89,2,57,66
484.247791104,1418923017341550000,89,2,57,66
485.551481088,1418923018645240000,89,2,57,66
486.852610816,1418923019946370000,89,2,57,66
488.133681152,1418923021227440000,89,2,57,66
489.41716608,1418923022510920000,89,2,57,66
490.71453952,1418923023808300000,89,2,57,66
492.022420736,1418923025116180000,89,2,57,66
493.295801088,1418923026389560000,89,2,57,66
494.568130304,1418923027661890000,89,2,57,66
495.892524032,1418923028986280000,89,2,57,66
497.208930816,1418923030302690000,89,2,57,66
498.515891968,1418923031609650000,89,2,57,66
499.829131776,1418923032922890000,89,2,57,66
501.163293952,1418923034257050000,90,2,58,66
502.461838592,1418923035555600000,90,2,58,66
503.81333504,1418923036907090000,90,2,58,66
505.137492992,1418923038231250000,90,2,58,66
506.422294272,1418923039516050000,90,2,58,66
507.767858176,1418923040861620000,90,2,58,66
509.087982336,1418923042181740000,90,2,58,66
510.367611136,1418923043461370000,90,2,58,66
511.666659328,1418923044760420000,90,2,58,66
512.983532288,1418923046077290000,90,2,58,66
514.282822656,1418923047376580000,90,2,58,66
515.598652928,1418923048692410000,90,2,58,66
516.897974784,1418923049991730000,90,2,58,66
518.183927808,1418923051277680000,90,2,58,66
519.476514816,1418923052570270000,90,2,58,66
520.807931392,1418923053901690000,90,2,56,69
522.131452928,1418923055225210000,90,2,56,69
523.509342208,1418923056603100000,90,2,56,69
524.814627328,1418923057908380000,90,2,56,69
526.168182016,1418923059261940000,90,2,56,69
527.492490496,1418923060586250000,90,2,56,69
528.815386368,1418923061909140000,90,2,56,69
530.100240128,1418923063194000000,90,2,56,69
531.398629376,1418923064492390000,90,2,56,70
532.736255232,1418923065830010000,90,2,56,70
534.012692736,1418923067106450000,90,2,56,70
535.296374528,1418923068390130000,90,2,56,70
536.577331712,1418923069671090000,90,2,56,70
537.882983424,1418923070976740000,90,2,56,70
539.160331264,1418923072254090000,90,2,56,71
540.457448192,1418923073551210000,90,2,56,71
541.805713408,1418923074899470000,90,2,56,71
543.136126976,1418923076229880000,90,2,56,71
544.428960256,1418923077522720000,90,2,56,71
545.725293568,1418923078819050000,90,2,56,71
547.0269696,1418923080120730000,90,2,56,71
548.328720128,1418923081422480000,90,2,56,71
549.622927616,1418923082716680000,90,2,56,71
550.934173184,1418923084027930000,90,2,56,71
552.21081984,1418923085304580000,90,2,56,71
553.510125056,1418923086603880000,90,2,56,71
554.808462592,1418923087902220000,90,2,56,71
556.096120064,1418923089189880000,90,2,56,71
557.397799168,1418923090491560000,90,2,56,71
558.7091328,1418923091802890000,90,2,56,71
560.008574976,1418923093102330000,90,2,56,71
561.298138368,1418923094391900000,90,2,56,71
562.596796928,1418923095690550000,90,2,56,71
563.893133312,1418923096986890000,90,2,56,71
565.175946752,1418923098269700000,90,2,56,71
566.451354368,1418923099545110000,90,2,56,71
567.744670208,1418923100838430000,90,2,56,71
569.0637504,1418923102157510000,90,2,56,71
570.410980608,1418923103504740000,90,2,56,71
571.703237888,1418923104796990000,90,2,56,71
573.013777408,1418923106107530000,90,2,56,71
574.306168576,1418923107399930000,90,2,54,73
575.59270528,1418923108686460000,90,2,54,73
576.901856,1418923109995610000,90,2,54,73
578.209302016,1418923111303060000,90,2,54,73
579.497058048,1418923112590820000,90,2,54,73
580.837294592,1418923113931050000,90,2,54,74
582.142635264,1418923115236390000,90,2,54,74
583.454369536,1418923116548130000,90,2,54,74
584.771555328,1418923117865310000,90,2,54,74
586.092482816,1418923119186240000,90,2,53,75
587.417062656,1418923120510820000,90,2,53,75
588.7929856,1418923121886740000,90,2,53,75
590.09021184,1418923123183970000,90,2,53,75
591.408286208,1418923124502040000,90,2,53,75
592.734523904,1418923125828280000,90,2,53,75
594.072664576,1418923127166420000,90,2,53,75
595.404477952,1418923128498230000,90,2,53,75
596.714379008,1418923129808140000,90,2,53,75
598.02375424,1418923131117510000,90,2,53,75
599.315721472,1418923132409480000,90,2,53,75
600.605374208,1418923133699130000,90,2,53,75
602.016937216,1418923135110690000,90,2,53,75
603.344717568,1418923136438470000,90,2,53,75
604.651471104,1418923137745230000,90,2,53,75
605.970588928,1418923139064350000,90,2,53,75
607.295552,1418923140389310000,90,2,52,76
608.60966912,1418923141703430000,90,2,52,76
609.931800064,1418923143025560000,90,2,52,76
611.232631552,1418923144326390000,90,2,52,76
612.52903168,1418923145622790000,90,2,52,76
613.858912256,1418923146952670000,90,2,52,76
615.146556416,1418923148240310000,90,2,52,76
616.436587264,1418923149530340000,90,2,52,76
617.732984832,1418923150826740000,90,2,52,76
619.05646592,1418923152150220000,90,2,52,76
620.395698432,1418923153489460000,90,2,52,76
621.698025472,1418923154791780000,90,2,52,76
623.039014656,1418923156132770000,90,2,52,76
624.375044352,1418923157468800000,90,3,52,77
625.73413888,1418923158827900000,90,3,52,77
627.048351488,1418923160142110000,90,3,51,78
628.376404736,1418923161470160000,90,3,51,79
629.677339392,1418923162771100000,90,3,51,79
630.986071296,1418923164079830000,90,3,51,80
632.316106752,1418923165409860000,90,3,51,80
633.625960192,1418923166719720000,90,3,50,81
634.993457408,1418923168087210000,90,3,50,81
636.336447488,1418923169430200000,90,3,50,81
637.680836352,1418923170774590000,90,3,50,81
638.99943296,1418923172093190000,90,3,50,81
640.329793536,1418923173423550000,90,3,50,81
641.627811072,1418923174721570000,90,3,50,81
642.93408768,1418923176027840000,90,3,50,81
644.230976512,1418923177324730000,90,3,50,81
645.550682368,1418923178644440000,90,3,50,81
646.8832,1418923179976960000,90,3,50,82
648.190043136,1418923181283800000,90,3,50,82
649.532212992,1418923182625970000,90,3,50,83
650.843612928,1418923183937370000,90,3,50,83
652.16589824,1418923185259660000,90,3,50,83
653.501341952,1418923186595100000,90,3,50,83
654.853533952,1418923187947290000,90,3,50,83
656.164892672,1418923189258650000,90,3,50,83
657.505993216,1418923190599750000,90,3,50,83
658.842386944,1418923191936140000,90,3,50,83
660.203535616,1418923193297290000,90,3,50,83
661.515272704,1418923194609030000,90,3,50,83
662.833219072,1418923195926980000,90,3,50,83
664.136372224,1418923197230130000,90,3,50,83
665.432674816,1418923198526430000,90,3,50,83
666.771145472,1418923199864900000,90,3,49,84
668.13343104,1418923201227190000,90,3,49,84
669.478956544,1418923202572710000,90,3,49,84
670.822800896,1418923203916560000,90,3,49,84
672.12326784,1418923205217020000,90,3,49,84
673.444207104,1418923206537960000,90,3,49,84
674.803453696,1418923207897210000,90,3,49,84
676.168697856,1418923209262460000,90,3,49,84
677.494341888,1418923210588100000,90,3,49,84
678.816239104,1418923211910000000,90,3,49,84
680.103726336,1418923213197480000,90,3,49,84
681.452946688,1418923214546700000,90,3,48,85
682.773082624,1418923215866840000,90,3,48,85
684.108173056,1418923217201930000,90,3,48,85
685.40513408,1418923218498890000,90,3,48,85
686.7276928,1418923219821450000,90,3,48,85
688.018368,1418923221112130000,90,3,48,85
689.307621888,1418923222401380000,90,3,47,86
690.614306816,1418923223708060000,90,3,47,87
691.934273536,1418923225028030000,90,3,47,87
693.23000704,1418923226323760000,90,3,47,87
694.525466368,1418923227619220000,90,3,47,87
695.844417792,1418923228938170000,90,3,47,87
697.187762688,1418923230281520000,90,3,47,87
698.483895808,1418923231577650000,90,3,47,87
699.79068032,1418923232884440000,90,3,47,87
701.087337728,1418923234181090000,90,3,47,87
702.425385984,1418923235519140000,90,3,47,87
703.759898624,1418923236853660000,90,3,47,87
705.095331584,1418923238189090000,90,3,47,87
706.416177408,1418923239509930000,90,3,47,87
707.710744832,1418923240804500000,90,3,47,87
709.00561408,1418923242099370000,90,3,47,87
710.300795136,1418923243394550000,90,3,47,87
711.602607872,1418923244696370000,90,3,47,87
712.919443456,1418923246013200000,90,3,47,87
714.20862208,1418923247302380000,90,3,47,87
715.51369984,1418923248607460000,90,3,47,87
716.822491648,1418923249916250000,90,3,47,87
718.143046656,1418923251236800000,90,3,47,87
719.45892224,1418923252552680000,90,4,47,88
720.782030336,1418923253875790000,90,4,47,88
722.087493376,1418923255181250000,90,4,47,88
723.406805504,1418923256500560000,90,4,47,88
724.707760128,1418923257801520000,90,4,47,88
726.044447232,1418923259138200000,90,4,47,88
727.346701056,1418923260440460000,90,4,47,88
728.651943168,1418923261745700000,90,4,47,88
730.007195904,1418923263100950000,90,4,47,88
731.304620288,1418923264398380000,90,4,47,88
732.623492352,1418923265717250000,90,4,47,88
733.96281088,1418923267056570000,90,4,47,88
735.264077824,1418923268357830000,90,4,47,88
736.561046528,1418923269654800000,90,4,47,88
737.913215232,1418923271006970000,90,4,47,88
739.209899008,1418923272303660000,90,4,47,89
740.54144,1418923273635200000,90,4,46,91
741.919655168,1418923275013410000,90,4,46,91
743.218970368,1418923276312730000,90,4,46,91
744.513441792,1418923277607200000,90,4,46,91
745.82166528,1418923278915420000,90,4,46,92
747.128050432,1418923280221810000,90,4,46,92
748.439855104,1418923281533610000,90,4,46,92
749.738471936,1418923282832230000,90,4,46,92
751.055399424,1418923284149160000,90,4,46,92
752.384262656,1418923285478020000,90,4,46,92
753.71954688,1418923286813300000,90,4,46,92
755.054846976,1418923288148600000,90,4,46,92
756.348924672,1418923289442680000,90,4,46,92
757.668861696,1418923290762620000,90,4,46,92
758.995411712,1418923292089170000,90,4,46,92
760.307372544,1418923293401130000,90,4,46,92
761.607536128,1418923294701290000,90,4,46,92
762.934204416,1418923296027960000,90,4,46,92
764.245617152,1418923297339370000,90,4,46,92
765.574628608,1418923298668390000,90,4,46,92
766.887996416,1418923299981750000,90,4,46,92
768.188649984,1418923301282410000,90,4,46,92
769.48640768,1418923302580160000,90,4,46,92
770.814291456,1418923303908050000,90,5,46,93
772.161563392,1418923305255320000,90,5,46,93
773.468224,1418923306561980000,90,5,46,93
774.79751168,1418923307891270000,90,5,46,93
776.097211904,1418923309190970000,90,5,46,93
777.406446336,1418923310500200000,90,5,46,93
778.720619776,1418923311814380000,90,5,46,93
780.036639488,1418923313130400000,90,5,46,93
781.331868416,1418923314425630000,90,5,46,93
782.664503552,1418923315758260000,90,5,46,93
783.978847744,1418923317072600000,90,5,46,93
785.28006528,1418923318373820000,90,5,46,93
786.601369088,1418923319695130000,90,5,46,93
787.947971072,1418923321041730000,90,5,46,93
789.300534528,1418923322394290000,90,5,45,94
790.70705408,1418923323800810000,90,5,45,94
792.073134336,1418923325166890000,90,5,45,94
793.37043328,1418923326464190000,90,5,45,94
794.667657728,1418923327761410000,90,5,45,94
795.990968576,1418923329084730000,90,5,45,94
797.32550144,1418923330419260000,90,5,45,94
